teste
Nome: huhuuh, Pontuação: 2
Nome: guu, Pontuação: 2
Nome: jooko, Pontuação: 8
Nome: teste, Pontuação: 0
Nome: ana, Pontuação: 7
Nome: Jota, Pontuação: 2
Nome: GustavoDoido, Pontuação: 6
Nome: Jonas, Pontuação: 3
Nome: , Pontuação: 1
Nome: , Pontuação: 0
Nome: Gustavo Duarte, Pontuação: 4
Nome: Gustavo, Pontuação: 1
Nome: Laura, Pontuação: 6
Nome: HSUAHSA, Pontuação: 5
Nome: dasdas, Pontuação: 6
Nome: testando, Pontuação: 5
Nome: qweqwew, Pontuação: 0
Nome: dasdsa, Pontuação: 1
Nome: TETE, Pontuação: 2
Nome: paula, Pontuação: 2
Nome: oepqwopeqw, Pontuação: 5
Nome: eqwewqds, Pontuação: 0
Nome: tste, Pontuação: 0
Nome: 124123, Pontuação: 0
Nome: fdfdfd, Pontuação: 1
Nome: eqweqw, Pontuação: 0
Nome: gfgfgfg, Pontuação: 0
Nome: asokdoaskod, Pontuação: 0
Nome: eqweqw, Pontuação: 0
Nome: Jose, Pontuação: 0
Nome: jdiasjdas, Pontuação: 0
Nome: paulo, Pontuação: 0
Nome: Luiz, Pontuação: 0
Nome: dkasokdokas, Pontuação: 0
Nome: teteu, Pontuação: 0
Nome: fasfasd, Pontuação: 0
Nome: Gustavo, Pontuação: 0
Nome: lal, Pontuação: 3
Nome: aoaoa, Pontuação: 3
Nome: qqqwq, Pontuação: 0
Nome: jashdsa, Pontuação: 4
Nome: qweqw, Pontuação: 3
Nome: dasfasfas, Pontuação: 7
Nome: dasdasd, Pontuação: 4
Nome: dasdas, Pontuação: 7
Nome: sadasd, Pontuação: 4
Nome: kodkosakda, Pontuação: 0
Nome: kdoskd, Pontuação: 0
Nome: dasdasd, Pontuação: 4
Nome: cxvxcvcx, Pontuação: 0
Nome: flavia, Pontuação: 5
Nome: kaka, Pontuação: 7
Nome: dasdsa, Pontuação: 1
Nome: dasdsa, Pontuação: 2
Nome: Deu certo, Pontuação: 0
Nome: uhul, Pontuação: 1
Nome: uhuuuul, Pontuação: 0
Nome: Gustavo, Pontuação: 0
Nome: kdoaksdas, Pontuação: 0
Nome: dkasokdoaksd, Pontuação: 0
Nome: Gustavo, Pontuação: 0
Nome: Gustavo, Pontuação: 0
Nome: Gustavo, Pontuação: 0
Nome: Gustavo, Pontuação: 0
Nome: Gustavo, Pontuação: 0
Nome: dasdsa, Pontuação: 0
Nome: dasdas, Pontuação: 0
Nome: dhuashdsaud, Pontuação: 0
Nome: Gustavo, Pontuação: 0
Nome: dasdas, Pontuação: 0
Nome: dasdasd, Pontuação: 0
Nome: udhaushdsa, Pontuação: 0
Nome: kfoaksfas, Pontuação: 0
Nome: dasdasd, Pontuação: 0
Nome: dhaushduas, Pontuação: 0
Nome: daushdsa, Pontuação: 0
Nome: djisajidsa, Pontuação: 0
Nome: lalala, Pontuação: 0
Nome: daskodkaskd, Pontuação: 0
Nome: kaoskdoas, Pontuação: 0
Nome: aksdokasodas, Pontuação: 0
Nome: saidjasijdas, Pontuação: 0
Nome: kdoasodkas, Pontuação: 0
Nome: dasdasd, Pontuação: 0
Nome: lalala, Pontuação: 0
Nome: koqkowkqw, Pontuação: 0
Nome: ajsidjisa, Pontuação: 0
Nome: ahduhasudsa, Pontuação: 0
Nome: oaoaoa, Pontuação: 0
Nome: HUSHAUHS, Pontuação: 0
Nome: Gu, Pontuação: 0
Nome: diajsidas, Pontuação: 0
Nome: hduashduas, Pontuação: 0
Nome: hdashudas, Pontuação: 0
Nome: dhuashduas, Pontuação: 0
Nome: kdoaskda, Pontuação: 0
Nome: dkoaskdsa, Pontuação: 0
Nome: dkasokdas, Pontuação: 0
Nome: dkoaskodsa, Pontuação: 0
Nome: koaskodas, Pontuação: 0
Nome: dkaoskdas, Pontuação: 0
Nome: dasjdsa, Pontuação: 0
Nome: Gustavo, Pontuação: 0
Nome: kdoasoda, Pontuação: 0
Nome: lololo, Pontuação: 0
Nome: Ana, Pontuação: 1
